League,Season,Position,Team,Points,Matches Played,Points per Match,Wins,Draws,Losses
Bundesliga,2012,11,Hoffenheim,41,34,1.21,10,11,13
Bundesliga,2012,12,Freiburg,40,34,1.18,10,10,14
Bundesliga,2012,13,Mainz 05,39,34,1.15,9,12,13
Bundesliga,2012,14,Augsburg,38,34,1.12,8,14,12
Bundesliga,2012,15,Hamburger SV,36,34,1.06,8,12,14
Bundesliga,2012,16,Hertha BSC,31,34,0.91,7,10,17
Bundesliga,2012,17,Köln,30,34,0.88,8,6,20
Bundesliga,2012,18,Kaiserslautern,23,34,0.68,4,11,19
Bundesliga,2011,1,Dortmund,75,34,2.21,23,6,5
Bundesliga,2011,2,Leverkusen,68,34,2.0,20,8,6
Bundesliga,2011,3,Bayern Munich,65,34,1.91,19,8,7
Bundesliga,2011,4,Hannover 96,60,34,1.76,19,3,12
Bundesliga,2011,5,Mainz 05,58,34,1.71,18,4,12
Bundesliga,2011,6,Nürnberg,47,34,1.38,13,8,13
Bundesliga,2011,7,Kaiserslautern,46,34,1.35,13,7,14
Bundesliga,2011,8,Hamburger SV,45,34,1.32,12,9,13
Bundesliga,2011,9,Freiburg,44,34,1.29,13,5,16
Bundesliga,2011,10,Köln,44,34,1.29,13,5,16
Bundesliga,2011,11,Hoffenheim,43,34,1.26,11,10,13
Bundesliga,2011,12,Stuttgart,42,34,1.24,12,6,16
Bundesliga,2011,13,Werder Bremen,41,34,1.21,10,11,13
Bundesliga,2011,14,Schalke 04,40,34,1.18,11,7,16
Bundesliga,2011,15,Wolfsburg,38,34,1.12,9,11,14
Bundesliga,2011,16,Gladbach,36,34,1.06,10,6,18
Bundesliga,2011,17,Eint Frankfurt,34,34,1.0,9,7,18
Bundesliga,2011,18,St. Pauli,29,34,0.85,8,5,21
Ligue 1,2025,1,Paris S-G,78,31,2.52,24,6,1
Ligue 1,2025,2,Monaco,55,31,1.77,16,7,8
Ligue 1,2025,3,Marseille,55,30,1.83,17,4,9
Ligue 1,2025,4,Lyon,54,31,1.74,16,6,9
Ligue 1,2025,5,Nice,54,31,1.74,15,9,7
Ligue 1,2025,6,Strasbourg,54,31,1.74,15,9,7
Ligue 1,2025,7,Lille,53,30,1.77,15,8,7
Ligue 1,2025,8,Lens,45,30,1.5,13,6,11
Ligue 1,2025,9,Brest,44,30,1.47,13,5,12
Ligue 1,2025,10,Rennes,38,31,1.23,12,2,17
Ligue 1,2025,11,Auxerre,38,30,1.27,10,8,12
Ligue 1,2025,12,Toulouse,34,30,1.13,9,7,14
Ligue 1,2025,13,Reims,32,30,1.07,8,8,14
Ligue 1,2025,14,Nantes,31,30,1.03,7,10,13
Ligue 1,2025,15,Angers,30,30,1.0,8,6,16
Ligue 1,2025,16,Le Havre,28,31,0.9,8,4,19
Ligue 1,2025,17,Saint-Étienne,24,30,0.8,6,6,18
Ligue 1,2025,18,Montpellier,15,29,0.52,4,3,22
Ligue 1,2024,1,Paris S-G,76,34,2.24,22,10,2
Ligue 1,2024,2,Monaco,67,34,1.97,20,7,7
Ligue 1,2024,3,Brest,61,34,1.79,17,10,7
Ligue 1,2024,4,Lille,59,34,1.74,16,11,7
Ligue 1,2024,5,Nice,55,34,1.62,15,10,9
Ligue 1,2024,6,Lyon,53,34,1.56,16,5,13
Ligue 1,2024,7,Lens,51,34,1.5,14,9,11
Ligue 1,2024,8,Marseille,50,34,1.47,13,11,10
Ligue 1,2024,9,Reims,47,34,1.38,13,8,13
Ligue 1,2024,10,Rennes,46,34,1.35,12,10,12
Ligue 1,2024,11,Toulouse,43,34,1.26,11,10,13
Ligue 1,2024,12,Montpellier,41,34,1.21,10,12,12
Ligue 1,2024,13,Strasbourg,39,34,1.15,10,9,15
Ligue 1,2024,14,Nantes,33,34,0.97,9,6,19
Ligue 1,2024,15,Le Havre,32,34,0.94,7,11,16
Ligue 1,2024,16,Metz,29,34,0.85,8,5,21
Ligue 1,2024,17,Lorient,29,34,0.85,7,8,19
Ligue 1,2024,18,Clermont Foot,25,34,0.74,5,10,19
Ligue 1,2023,1,Paris S-G,85,38,2.24,27,4,7
Ligue 1,2023,2,Lens,84,38,2.21,25,9,4
Ligue 1,2023,3,Marseille,73,38,1.92,22,7,9
Ligue 1,2023,4,Rennes,68,38,1.79,21,5,12
Ligue 1,2023,5,Lille,67,38,1.76,19,10,9
Ligue 1,2023,6,Monaco,65,38,1.71,19,8,11
Ligue 1,2023,7,Lyon,62,38,1.63,18,8,12
Ligue 1,2023,8,Clermont Foot,59,38,1.55,17,8,13
Ligue 1,2023,9,Nice,58,38,1.53,15,13,10
Ligue 1,2023,10,Lorient,55,38,1.45,15,10,13
Ligue 1,2023,11,Reims,51,38,1.34,12,15,11
Ligue 1,2023,12,Montpellier,50,38,1.32,15,5,18
Ligue 1,2023,13,Toulouse,48,38,1.26,13,9,16
Ligue 1,2023,14,Brest,44,38,1.16,11,11,16
Ligue 1,2023,15,Strasbourg,40,38,1.05,9,13,16
Ligue 1,2023,16,Nantes,36,38,0.95,7,15,16
Ligue 1,2023,17,Auxerre,35,38,0.92,8,11,19
Ligue 1,2023,18,Ajaccio,26,38,0.68,7,5,26
Ligue 1,2023,19,Troyes,24,38,0.63,4,12,22
Ligue 1,2023,20,Angers,18,38,0.47,4,6,28
Ligue 1,2022,1,Paris S-G,86,38,2.26,26,8,4
Ligue 1,2022,2,Marseille,71,38,1.87,21,8,9
Ligue 1,2022,3,Monaco,69,38,1.82,20,9,9
Ligue 1,2022,4,Rennes,66,38,1.74,20,6,12
Ligue 1,2022,5,Nice,66,38,1.74,20,7,11
Ligue 1,2022,6,Strasbourg,63,38,1.66,17,12,9
Ligue 1,2022,7,Lens,62,38,1.63,17,11,10
Ligue 1,2022,8,Lyon,61,38,1.61,17,11,10
Ligue 1,2022,9,Nantes,55,38,1.45,15,10,13
Ligue 1,2022,10,Lille,55,38,1.45,14,13,11
Ligue 1,2022,11,Brest,48,38,1.26,13,9,16
Ligue 1,2022,12,Reims,46,38,1.21,11,13,14
Ligue 1,2022,13,Montpellier,43,38,1.13,12,7,19
Ligue 1,2022,14,Angers,41,38,1.08,10,11,17
Ligue 1,2022,15,Troyes,38,38,1.0,9,11,18
Ligue 1,2022,16,Lorient,36,38,0.95,8,12,18
Ligue 1,2022,17,Clermont Foot,36,38,0.95,9,9,20
Ligue 1,2022,18,Saint-Étienne,32,38,0.84,7,11,20
Ligue 1,2022,19,Metz,31,38,0.82,6,13,19
Ligue 1,2022,20,Bordeaux,31,38,0.82,6,13,19
Ligue 1,2021,1,Lille,83,38,2.18,24,11,3
Ligue 1,2021,2,Paris S-G,82,38,2.16,26,4,8
Ligue 1,2021,3,Monaco,78,38,2.05,24,6,8
Ligue 1,2021,4,Lyon,76,38,2.0,22,10,6
Ligue 1,2021,5,Marseille,60,38,1.58,16,12,10
Ligue 1,2021,6,Rennes,58,38,1.53,16,10,12
Ligue 1,2021,7,Lens,57,38,1.5,15,12,11
Ligue 1,2021,8,Montpellier,54,38,1.42,14,12,12
Ligue 1,2021,9,Nice,52,38,1.37,15,7,16
Ligue 1,2021,10,Metz,47,38,1.24,12,11,15
Ligue 1,2021,11,Saint-Étienne,46,38,1.21,12,10,16
Ligue 1,2021,12,Bordeaux,45,38,1.18,13,6,19
Ligue 1,2021,13,Angers,44,38,1.16,12,8,18
Ligue 1,2021,14,Reims,42,38,1.11,9,15,14
Ligue 1,2021,15,Strasbourg,42,38,1.11,11,9,18
Ligue 1,2021,16,Lorient,42,38,1.11,11,9,18
Ligue 1,2021,17,Brest,41,38,1.08,11,8,19
Ligue 1,2021,18,Nantes,40,38,1.05,9,13,16
Ligue 1,2021,19,Nîmes,35,38,0.92,9,8,21
Ligue 1,2021,20,Dijon,21,38,0.55,4,9,25
Ligue 1,2020,1,Paris S-G,68,27,2.52,22,2,3
Ligue 1,2020,2,Marseille,56,28,2.0,16,8,4
Ligue 1,2020,3,Rennes,50,28,1.79,15,5,8
Ligue 1,2020,4,Lille,49,28,1.75,15,4,9
Ligue 1,2020,5,Nice,41,28,1.46,11,8,9
Ligue 1,2020,6,Reims,41,28,1.46,10,11,7
Ligue 1,2020,7,Lyon,40,28,1.43,11,7,10
Ligue 1,2020,8,Montpellier,40,28,1.43,11,7,10
Ligue 1,2020,9,Monaco,40,28,1.43,11,7,10
Ligue 1,2020,10,Strasbourg,38,27,1.41,11,5,11
Ligue 1,2020,11,Angers,39,28,1.39,11,6,11
Ligue 1,2020,12,Bordeaux,37,28,1.32,9,10,9
Ligue 1,2020,13,Nantes,37,28,1.32,11,4,13
Ligue 1,2020,14,Brest,34,28,1.21,8,10,10
Ligue 1,2020,15,Metz,34,28,1.21,8,10,10
Ligue 1,2020,16,Dijon,30,28,1.07,7,9,12
Ligue 1,2020,17,Saint-Étienne,30,28,1.07,8,6,14
Ligue 1,2020,18,Nîmes,27,28,0.96,7,6,15
Ligue 1,2020,19,Amiens,23,28,0.82,4,11,13
Ligue 1,2020,20,Toulouse,13,28,0.46,3,4,21
Ligue 1,2019,1,Paris S-G,91,38,2.39,29,4,5
Ligue 1,2019,2,Lille,75,38,1.97,22,9,7
Ligue 1,2019,3,Lyon,72,38,1.89,21,9,8
Ligue 1,2019,4,Saint-Étienne,66,38,1.74,19,9,10
Ligue 1,2019,5,Marseille,61,38,1.61,18,7,13
Ligue 1,2019,6,Montpellier,59,38,1.55,15,14,9
Ligue 1,2019,7,Nice,56,38,1.47,15,11,12
Ligue 1,2019,8,Reims,55,38,1.45,13,16,9
Ligue 1,2019,9,Nîmes,53,38,1.39,15,8,15
Ligue 1,2019,10,Rennes,52,38,1.37,13,13,12
Ligue 1,2019,11,Strasbourg,49,38,1.29,11,16,11
Ligue 1,2019,12,Nantes,48,38,1.26,13,9,16
Ligue 1,2019,13,Angers,46,38,1.21,10,16,12
Ligue 1,2019,14,Bordeaux,41,38,1.08,10,11,17
Ligue 1,2019,15,Amiens,38,38,1.0,9,11,18
Ligue 1,2019,16,Toulouse,38,38,1.0,8,14,16
Ligue 1,2019,17,Monaco,36,38,0.95,8,12,18
Ligue 1,2019,18,Dijon,34,38,0.89,9,7,22
Ligue 1,2019,19,Caen,33,38,0.87,7,12,19
Ligue 1,2019,20,Guingamp,27,38,0.71,5,12,21
Ligue 1,2018,1,Paris S-G,93,38,2.45,29,6,3
Ligue 1,2018,2,Monaco,80,38,2.11,24,8,6
Ligue 1,2018,3,Lyon,78,38,2.05,23,9,6
Ligue 1,2018,4,Marseille,77,38,2.03,22,11,5
Ligue 1,2018,5,Rennes,58,38,1.53,16,10,12
Ligue 1,2018,6,Bordeaux,55,38,1.45,16,7,15
Ligue 1,2018,7,Saint-Étienne,55,38,1.45,15,10,13
Ligue 1,2018,8,Nice,54,38,1.42,15,9,14
Ligue 1,2018,9,Nantes,52,38,1.37,14,10,14
Ligue 1,2018,10,Montpellier,51,38,1.34,11,18,9
Ligue 1,2018,11,Dijon,48,38,1.26,13,9,16
Ligue 1,2018,12,Guingamp,47,38,1.24,12,11,15
Ligue 1,2018,13,Amiens,45,38,1.18,12,9,17
Ligue 1,2018,14,Angers,41,38,1.08,9,14,15
Ligue 1,2018,15,Strasbourg,38,38,1.0,9,11,18
Ligue 1,2018,16,Caen,38,38,1.0,10,8,20
Ligue 1,2018,17,Lille,38,38,1.0,10,8,20
Ligue 1,2018,18,Toulouse,37,38,0.97,9,10,19
Ligue 1,2018,19,Troyes,33,38,0.87,9,6,23
Ligue 1,2018,20,Metz,26,38,0.68,6,8,24
Ligue 1,2017,1,Monaco,95,38,2.5,30,5,3
Ligue 1,2017,2,Paris S-G,87,38,2.29,27,6,5
Ligue 1,2017,3,Nice,78,38,2.05,22,12,4
Ligue 1,2017,4,Lyon,67,38,1.76,21,4,13
Ligue 1,2017,5,Marseille,62,38,1.63,17,11,10
Ligue 1,2017,6,Bordeaux,59,38,1.55,15,14,9
Ligue 1,2017,7,Nantes,51,38,1.34,14,9,15
Ligue 1,2017,8,Saint-Étienne,50,38,1.32,12,14,12
Ligue 1,2017,9,Rennes,50,38,1.32,12,14,12
Ligue 1,2017,10,Guingamp,50,38,1.32,14,8,16
Ligue 1,2017,11,Lille,46,38,1.21,13,7,18
Ligue 1,2017,12,Angers,46,38,1.21,13,7,18
Ligue 1,2017,13,Toulouse,44,38,1.16,10,14,14
Ligue 1,2017,14,Metz,43,38,1.13,11,10,17
Ligue 1,2017,15,Montpellier,39,38,1.03,10,9,19
Ligue 1,2017,16,Dijon,37,38,0.97,8,13,17
Ligue 1,2017,17,Caen,37,38,0.97,10,7,21
Ligue 1,2017,18,Lorient,36,38,0.95,10,6,22
Ligue 1,2017,19,Nancy,35,38,0.92,9,8,21
Ligue 1,2017,20,Bastia,34,38,0.89,8,10,20
Ligue 1,2016,1,Paris S-G,96,38,2.53,30,6,2
Ligue 1,2016,2,Lyon,65,38,1.71,19,8,11
Ligue 1,2016,3,Monaco,65,38,1.71,17,14,7
Ligue 1,2016,4,Nice,63,38,1.66,18,9,11
Ligue 1,2016,5,Lille,60,38,1.58,15,15,8
Ligue 1,2016,6,Saint-Étienne,58,38,1.53,17,7,14
Ligue 1,2016,7,Caen,54,38,1.42,16,6,16
Ligue 1,2016,8,Rennes,52,38,1.37,13,13,12
Ligue 1,2016,9,Angers,50,38,1.32,13,11,14
Ligue 1,2016,10,Bastia,50,38,1.32,14,8,16
Ligue 1,2016,11,Bordeaux,50,38,1.32,12,14,12
Ligue 1,2016,12,Montpellier,49,38,1.29,14,7,17
Ligue 1,2016,13,Marseille,48,38,1.26,10,18,10
Ligue 1,2016,14,Nantes,48,38,1.26,12,12,14
Ligue 1,2016,15,Lorient,46,38,1.21,11,13,14
Ligue 1,2016,16,Guingamp,44,38,1.16,11,11,16
Ligue 1,2016,17,Toulouse,40,38,1.05,9,13,16
Ligue 1,2016,18,Reims,39,38,1.03,10,9,19
Ligue 1,2016,19,Gazélec Ajaccio,37,38,0.97,8,13,17
Ligue 1,2016,20,Troyes,18,38,0.47,3,9,26
Ligue 1,2015,1,Paris S-G,83,38,2.18,24,11,3
Ligue 1,2015,2,Lyon,75,38,1.97,22,9,7
Ligue 1,2015,3,Monaco,71,38,1.87,20,11,7
Ligue 1,2015,4,Marseille,69,38,1.82,21,6,11
Ligue 1,2015,5,Saint-Étienne,69,38,1.82,19,12,7
Ligue 1,2015,6,Bordeaux,63,38,1.66,17,12,9
Ligue 1,2015,7,Montpellier,56,38,1.47,16,8,14
Ligue 1,2015,8,Lille,56,38,1.47,16,8,14
Ligue 1,2015,9,Rennes,50,38,1.32,13,11,14
Ligue 1,2015,10,Guingamp,49,38,1.29,15,4,19
Ligue 1,2015,11,Nice,48,38,1.26,13,9,16
Ligue 1,2015,12,Bastia,47,38,1.24,12,11,15
Ligue 1,2015,13,Caen,46,38,1.21,12,10,16
Ligue 1,2015,14,Nantes,45,38,1.18,11,12,15
Ligue 1,2015,15,Reims,44,38,1.16,12,8,18
Ligue 1,2015,16,Lorient,43,38,1.13,12,7,19
Ligue 1,2015,17,Toulouse,42,38,1.11,12,6,20
Ligue 1,2015,18,Evian,37,38,0.97,11,4,23
Ligue 1,2015,19,Metz,30,38,0.79,7,9,22
Ligue 1,2015,20,Lens,29,38,0.76,7,8,23
Ligue 1,2014,1,Paris S-G,89,38,2.34,27,8,3
Ligue 1,2014,2,Monaco,80,38,2.11,23,11,4
Ligue 1,2014,3,Lille,71,38,1.87,20,11,7
Ligue 1,2014,4,Saint-Étienne,69,38,1.82,20,9,9
Ligue 1,2014,5,Lyon,61,38,1.61,17,10,11
Ligue 1,2014,6,Marseille,60,38,1.58,16,12,10
Ligue 1,2014,7,Bordeaux,53,38,1.39,13,14,11
Ligue 1,2014,8,Lorient,49,38,1.29,13,10,15
Ligue 1,2014,9,Toulouse,49,38,1.29,12,13,13
Ligue 1,2014,10,Bastia,49,38,1.29,13,10,15
Ligue 1,2014,11,Reims,48,38,1.26,12,12,14
Ligue 1,2014,12,Rennes,46,38,1.21,11,13,14
Ligue 1,2014,13,Nantes,46,38,1.21,12,10,16
Ligue 1,2014,14,Evian,44,38,1.16,11,11,16
Ligue 1,2014,15,Montpellier,42,38,1.11,8,18,12
Ligue 1,2014,16,Guingamp,42,38,1.11,11,9,18
Ligue 1,2014,17,Nice,42,38,1.11,12,6,20
Ligue 1,2014,18,Sochaux,40,38,1.05,10,10,18
Ligue 1,2014,19,Valenciennes,29,38,0.76,7,8,23
Ligue 1,2014,20,Ajaccio,23,38,0.61,4,11,23
Ligue 1,2013,1,Paris S-G,83,38,2.18,25,8,5
Ligue 1,2013,2,Marseille,71,38,1.87,21,8,9
Ligue 1,2013,3,Lyon,67,38,1.76,19,10,9
Ligue 1,2013,4,Nice,64,38,1.68,18,10,10
Ligue 1,2013,5,Saint-Étienne,63,38,1.66,16,15,7
Ligue 1,2013,6,Lille,62,38,1.63,16,14,8
Ligue 1,2013,7,Bordeaux,55,38,1.45,13,16,9
Ligue 1,2013,8,Lorient,53,38,1.39,14,11,13
Ligue 1,2013,9,Montpellier,52,38,1.37,15,7,16
Ligue 1,2013,10,Toulouse,51,38,1.34,13,12,13
Ligue 1,2013,11,Valenciennes,48,38,1.26,12,12,14
Ligue 1,2013,12,Bastia,47,38,1.24,13,8,17
Ligue 1,2013,13,Rennes,46,38,1.21,13,7,18
Ligue 1,2013,14,Reims,43,38,1.13,10,13,15
Ligue 1,2013,15,Sochaux,41,38,1.08,10,11,17
Ligue 1,2013,16,Evian,40,38,1.05,10,10,18
Ligue 1,2013,17,Ajaccio,40,38,1.05,9,15,14
Ligue 1,2013,18,Nancy,38,38,1.0,9,11,18
Ligue 1,2013,19,Troyes,37,38,0.97,8,13,17
Ligue 1,2013,20,Brest,29,38,0.76,8,5,25
Ligue 1,2012,1,Montpellier,82,38,2.16,25,7,6
Ligue 1,2012,2,Paris S-G,79,38,2.08,23,10,5
Ligue 1,2012,3,Lille,74,38,1.95,21,11,6
Ligue 1,2012,4,Lyon,64,38,1.68,19,7,12
Ligue 1,2012,5,Bordeaux,61,38,1.61,16,13,9
Ligue 1,2012,6,Rennes,60,38,1.58,17,9,12
Ligue 1,2012,7,Saint-Étienne,57,38,1.5,16,9,13
Ligue 1,2012,8,Toulouse,56,38,1.47,15,11,12
Ligue 1,2012,9,Evian,50,38,1.32,13,11,14
Ligue 1,2012,10,Marseille,48,38,1.26,12,12,14
Ligue 1,2012,11,Nancy,45,38,1.18,11,12,15
Ligue 1,2012,12,Valenciennes,43,38,1.13,12,7,19
Ligue 1,2012,13,Nice,42,38,1.11,10,12,16
Ligue 1,2012,14,Sochaux,42,38,1.11,11,9,18
Ligue 1,2012,15,Brest,41,38,1.08,8,17,13
Ligue 1,2012,16,Ajaccio,41,38,1.08,9,14,15
Ligue 1,2012,17,Lorient,39,38,1.03,9,12,17
Ligue 1,2012,18,Caen,38,38,1.0,9,11,18
Ligue 1,2012,19,Dijon,36,38,0.95,9,9,20
Ligue 1,2012,20,Auxerre,34,38,0.89,7,13,18
Ligue 1,2011,1,Lille,76,38,2.0,21,13,4
Ligue 1,2011,2,Marseille,68,38,1.79,18,14,6
Ligue 1,2011,3,Lyon,64,38,1.68,17,13,8
Ligue 1,2011,4,Paris S-G,60,38,1.58,15,15,8
Ligue 1,2011,5,Sochaux,58,38,1.53,17,7,14
Ligue 1,2011,6,Rennes,56,38,1.47,15,11,12
Ligue 1,2011,7,Bordeaux,51,38,1.34,12,15,11
Ligue 1,2011,8,Toulouse,50,38,1.32,14,8,16
Ligue 1,2011,9,Auxerre,49,38,1.29,10,19,9
Ligue 1,2011,10,Saint-Étienne,49,38,1.29,12,13,13
Ligue 1,2011,11,Lorient,49,38,1.29,12,13,13
Ligue 1,2011,12,Valenciennes,48,38,1.26,10,18,10
Ligue 1,2011,13,Nancy,48,38,1.26,13,9,16
Ligue 1,2011,14,Montpellier,47,38,1.24,12,11,15
Ligue 1,2011,15,Caen,46,38,1.21,11,13,14
Ligue 1,2011,16,Brest,46,38,1.21,11,13,14
Ligue 1,2011,17,Nice,46,38,1.21,11,13,14
Ligue 1,2011,18,Monaco,44,38,1.16,9,17,12
Ligue 1,2011,19,Lens,35,38,0.92,7,14,17
Ligue 1,2011,20,Arles-Avignon,20,38,0.53,3,11,24
